# CW-ODMR camera-only acquisition
# exposure_s = 0.03
# n_frames_per_point = 300
# ROI: x=1474, y=935, half=200
# columns: freq_MHz  mean_intensity  std_intensity  n_frames
    0.0000        6.7907      0.0243    100
    0.0000     2397.9492      8.5591    100
    0.0000     2383.0067      6.8120    100
    0.0000     2280.2394     78.7777    100
    0.0000       19.1498      0.0721    100
    0.0000       20.1275      0.0999    100
    0.0000       20.1663      0.0875    100
    0.0000       20.1773      0.0973    100
    0.0000        7.2328      0.0107    100
    1.0000        6.2559      0.0120    100
    2.0000        6.2577      0.0114    100
    3.0000        7.2526      0.0116    100
    4.0000        7.2540      0.0112    100
    0.0000      197.9420      0.2790    100
    1.0000      198.1213      0.1862    100
    2.0000      198.2959      0.1557    100
    3.0000      198.4584      0.6264    100
 2870.0000      202.2133      0.4622    100
 2870.0000      201.9321      1.1029    100
 2870.0000      202.7881      0.4125    100
 2870.0000      202.4705      0.5592    100
 2870.0000      203.2818      0.5085    100
    0.0000      203.9085      0.5480    100
 2865.0000      204.1946      0.2009    100
 2866.0000      204.6390      0.2036    100
 2867.0000      204.9767      0.2993    100
 2868.0000      204.3101      0.3280    100
 2869.0000      205.5764      0.2625    100
 2870.0000      205.8473      0.3136    100
 2871.0000      205.7926      0.6548    100
 2872.0000      206.0600      0.2628    100
 2873.0000      206.3038      0.2884    100
 2874.0000      206.1679      0.6501    100
 2875.0000      206.5367      0.3024    100
