# CW-ODMR camera-only acquisition
# exposure_s = 0.05
# n_frames_per_point = 100
# ROI: x=1160, y=1016, half=200
# columns: freq_MHz  mean_intensity  std_intensity  n_frames
 2875.0000      212.9649      4.6599    100
 2874.0000      205.0230      0.4354    100
 2875.0000      206.3158      0.2339    100
 2874.0000      206.5816      0.4487    100
 2873.0000      207.1469      0.3731    100
 2872.0000      207.6211      0.1223    100
 2871.0000      207.5224      0.3605    100
 2870.0000      207.8706      0.3721    100
 2869.0000      208.1449      0.1411    100
 2868.0000      208.1387      0.7428    100
 2867.0000      207.6388      0.1530    100
 2875.0000      208.5221      0.4619    100
