# CW-ODMR camera-only acquisition
# exposure_s = 0.05
# n_frames_per_point = 300
# ROI: x=1160, y=1016, half=100
# columns: freq_MHz  mean_intensity  std_intensity  n_frames
 2765.0000      386.1014      1.5272    300
 2865.0000      391.7589      0.8955    300
 2865.1000      393.0442      0.8959    300
 2865.2000      393.4380      1.7554    300
 2865.3000      394.6519      1.1831    300
 2865.4000      395.4191      2.1926    300
 2865.5000      400.9733      1.3542    300
 2865.6000      400.4340      2.3193    300
 2865.7000      400.5659      1.9515    300
 2865.8000      402.3479      2.0505    300
 2865.9000      403.2869      1.4098    300
 2866.0000      403.0558      2.1150    300
 2866.1000      406.1202      1.2350    300
 2866.2000      406.9555      0.9955    300
 2866.3000      407.3032      2.6244    300
 2866.4000      408.9049      2.1217    300
 2866.5000      410.6279      1.3899    300
 2866.6000      411.7847      1.7706    300
 2866.7000      413.6246      2.2288    300
 2866.8000      415.4678      0.7722    300
 2866.9000      416.1901      1.8364    300
 2867.0000      416.7392      1.4064    300
